layer,session,check,animal,n
2D,250708,identity_jump,Elm,253
2D,250708,identity_jump,Jok,48
2D,250708,identity_swap,Elm,144
2D,250708,identity_swap,Jok,55
3D,250708,bone_length,Elm,2041
3D,250708,bone_length,Jok,838
3D,250708,bone_symmetry,Elm,2888
3D,250708,bone_symmetry,Jok,653
3D,250708,keypoint_velocity,Elm,2846
3D,250708,keypoint_velocity,Jok,1161
3D,250708,out_of_room,Elm,1220
3D,250708,out_of_room,Jok,8436
2D,250711,identity_jump,Elm,118
2D,250711,identity_jump,Jok,65
2D,250711,identity_swap,Elm,41
2D,250711,identity_swap,Jok,89
3D,250711,bone_length,Elm,737
3D,250711,bone_length,Jok,501
3D,250711,bone_symmetry,Elm,726
3D,250711,bone_symmetry,Jok,485
3D,250711,keypoint_velocity,Elm,1106
3D,250711,keypoint_velocity,Jok,1356
3D,250711,out_of_room,Elm,781
3D,250711,out_of_room,Jok,6897
2D,250712,identity_jump,Elm,233
2D,250712,identity_jump,Jok,104
2D,250712,identity_swap,Elm,103
2D,250712,identity_swap,Jok,69
3D,250712,bone_length,Elm,492
3D,250712,bone_length,Jok,756
3D,250712,bone_symmetry,Elm,150
3D,250712,bone_symmetry,Jok,498
3D,250712,keypoint_velocity,Elm,834
3D,250712,keypoint_velocity,Jok,1290
3D,250712,out_of_room,Elm,624
3D,250712,out_of_room,Jok,2208
2D,250713,identity_jump,Elm,170
2D,250713,identity_jump,Jok,162
2D,250713,identity_swap,Elm,109
2D,250713,identity_swap,Jok,141
3D,250713,bone_length,Elm,950
3D,250713,bone_length,Jok,1246
3D,250713,bone_symmetry,Elm,831
3D,250713,bone_symmetry,Jok,1394
3D,250713,keypoint_velocity,Elm,1953
3D,250713,keypoint_velocity,Jok,4217
3D,250713,out_of_room,Elm,1212
3D,250713,out_of_room,Jok,463
2D,250714,identity_jump,Elm,243
2D,250714,identity_jump,Jok,289
2D,250714,identity_swap,Elm,117
2D,250714,identity_swap,Jok,134
3D,250714,bone_length,Elm,1112
3D,250714,bone_length,Jok,998
3D,250714,bone_symmetry,Elm,545
3D,250714,bone_symmetry,Jok,1062
3D,250714,keypoint_velocity,Elm,2154
3D,250714,keypoint_velocity,Jok,2272
3D,250714,out_of_room,Elm,1031
3D,250714,out_of_room,Jok,13758
2D,250715,identity_jump,Elm,181
2D,250715,identity_jump,Jok,3
2D,250715,identity_swap,Elm,99
2D,250715,identity_swap,Jok,42
3D,250715,bone_length,Elm,1396
3D,250715,bone_length,Jok,1321
3D,250715,bone_symmetry,Elm,1216
3D,250715,bone_symmetry,Jok,966
3D,250715,keypoint_velocity,Elm,2451
3D,250715,keypoint_velocity,Jok,1901
3D,250715,out_of_room,Elm,1074
3D,250715,out_of_room,Jok,5326
2D,250716,identity_jump,Elm,83
2D,250716,identity_jump,Jok,209
2D,250716,identity_swap,Elm,39
2D,250716,identity_swap,Jok,139
3D,250716,bone_length,Elm,287
3D,250716,bone_length,Jok,569
3D,250716,bone_symmetry,Elm,156
3D,250716,bone_symmetry,Jok,507
3D,250716,keypoint_velocity,Elm,621
3D,250716,keypoint_velocity,Jok,2348
3D,250716,out_of_room,Elm,762
